==== Log File Start ===
LAPTOP-5M0OHCPV;2023/09/04 12:07:18.788;Error;Il prodotto è già presente tra i preferiti.;betacomio.Services.LikesService.LikesService;;
Error;LAPTOP-5M0OHCPV;2023/09/04 12:08:55.014;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 12:13:52.130;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
==== Log File End ===
Trace;LAPTOP-5M0OHCPV;2023/09/04 12:31:19.661;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 13:13:47.016;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
==== Log File End ===
Trace;LAPTOP-5M0OHCPV;2023/09/04 13:28:19.724;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
==== Log File End ===
Trace;LAPTOP-5M0OHCPV;2023/09/04 13:48:52.196;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
==== Log File End ===
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:02:06.279;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:12:00.783;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:12:38.432;betacomio.Services.LikesService.LikesService;;;Order with ID 774 not found or does not belong to the current user
==== Log File End ===
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:34:22.711;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:37:26.729;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:50:01.666;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
Trace;LAPTOP-5M0OHCPV;2023/09/04 14:50:12.256;betacomio.Services.LikesService.LikesService;;;Il prodotto è già presente tra i preferiti.
